field_name,exists_in_v20_9_base,non_empty_row_count,row_count,coverage_status,usable_for_data_trustworthiness,usable_for_factor_scores_now,blocker_reason
ticker,TRUE,314,314,PASS,FALSE,FALSE,
effective_observation_date,TRUE,314,314,PASS,FALSE,FALSE,
effective_price_date,TRUE,314,314,PASS,FALSE,FALSE,
effective_close,TRUE,314,314,PASS,FALSE,FALSE,
source_hash,TRUE,314,314,PASS,TRUE,FALSE,
run_id,TRUE,314,314,PASS,TRUE,FALSE,
sample_id,TRUE,314,314,PASS,TRUE,FALSE,
normalized_row_id,TRUE,314,314,PASS,TRUE,FALSE,
factor_research_row_id,TRUE,314,314,PASS,TRUE,FALSE,
research_only_flag,TRUE,314,314,PASS,TRUE,FALSE,
official_use_allowed,TRUE,314,314,PASS,TRUE,FALSE,
technical_factor_inputs,FALSE,0,314,SOURCE_REQUIRED,FALSE,FALSE,Historical OHLCV windows and volume history are not present.
fundamental_factor_inputs,FALSE,0,314,SOURCE_REQUIRED,FALSE,FALSE,"Financial statement, earnings, valuation, and liquidity inputs are not present."
risk_factor_inputs,FALSE,0,314,SOURCE_REQUIRED,FALSE,FALSE,"Event, earnings, macro, portfolio, and volatility inputs are not present."
market_regime_factor_inputs,FALSE,0,314,SOURCE_REQUIRED,FALSE,FALSE,"VIX, QQQ/SPY, macro calendar, and regime inputs are not present."
data_trustworthiness_inputs,TRUE,314,314,PASS,TRUE,FALSE,
