column_name,required,detected,non_empty_row_count,row_count,schema_review_status,blocker_reason
factor_evidence_row_id,TRUE,TRUE,1570,1570,PASS,
factor_attachment_row_id,TRUE,TRUE,1570,1570,PASS,
factor_research_row_id,TRUE,TRUE,1570,1570,PASS,
normalized_row_id,TRUE,TRUE,1570,1570,PASS,
ticker,TRUE,TRUE,1570,1570,PASS,
effective_observation_date,TRUE,TRUE,1570,1570,PASS,
effective_price_date,TRUE,TRUE,1570,1570,PASS,
effective_close,TRUE,TRUE,1570,1570,PASS,
source_system,TRUE,TRUE,1570,1570,PASS,
source_hash,TRUE,TRUE,1570,1570,PASS,
run_id,TRUE,TRUE,1570,1570,PASS,
sample_id,TRUE,TRUE,1570,1570,PASS,
factor_category,TRUE,TRUE,1570,1570,PASS,
factor_family,TRUE,TRUE,1570,1570,PASS,
evidence_scope_id,TRUE,TRUE,1570,1570,PASS,
evidence_type,TRUE,TRUE,1570,1570,PASS,
evidence_basis,TRUE,TRUE,1570,1570,PASS,
evidence_value_type,TRUE,TRUE,1570,1570,PASS,
evidence_value_present,TRUE,TRUE,1570,1570,PASS,
evidence_quality_flag,TRUE,TRUE,1570,1570,PASS,
evidence_lineage_complete,TRUE,TRUE,1570,1570,PASS,
evidence_pit_safe,TRUE,TRUE,1570,1570,PASS,
evidence_stale_leakage_checked,TRUE,TRUE,1570,1570,PASS,
factor_score_created,TRUE,TRUE,1570,1570,PASS,
factor_score_value,TRUE,TRUE,0,1570,PASS,
performance_metric_created,TRUE,TRUE,1570,1570,PASS,
forward_return_created,TRUE,TRUE,1570,1570,PASS,
benchmark_relative_return_created,TRUE,TRUE,1570,1570,PASS,
backtest_metric_created,TRUE,TRUE,1570,1570,PASS,
dynamic_weighting_input_created,TRUE,TRUE,1570,1570,PASS,
trading_signal_created,TRUE,TRUE,1570,1570,PASS,
strategy_signal_created,TRUE,TRUE,1570,1570,PASS,
official_recommendation_created,TRUE,TRUE,1570,1570,PASS,
research_only_flag,TRUE,TRUE,1570,1570,PASS,
official_use_allowed,TRUE,TRUE,1570,1570,PASS,
allowed_for_factor_score_next,TRUE,TRUE,1570,1570,PASS,
allowed_for_backtest_now,TRUE,TRUE,1570,1570,PASS,
allowed_for_dynamic_weighting_now,TRUE,TRUE,1570,1570,PASS,
allowed_for_trading_now,TRUE,TRUE,1570,1570,PASS,
allowed_for_official_recommendation_now,TRUE,TRUE,1570,1570,PASS,
evidence_created_at_utc,TRUE,TRUE,1570,1570,PASS,
evidence_source_step,TRUE,TRUE,1570,1570,PASS,
